Actual_Label,Late_Delivery_Probability,Risk_Category
1,0.88,High Risk
1,0.9,High Risk
1,1.0,High Risk
1,0.91,High Risk
1,0.99,High Risk
1,0.91,High Risk
1,0.99,High Risk
1,1.0,High Risk
0,0.74,High Risk
1,0.92,High Risk
0,0.73,High Risk
1,0.83,High Risk
1,0.99,High Risk
1,0.94,High Risk
1,0.98,High Risk
1,0.97,High Risk
1,0.84,High Risk
1,0.88,High Risk
1,0.98,High Risk
1,0.87,High Risk
1,0.98,High Risk
1,0.95,High Risk
1,0.9,High Risk
1,0.95,High Risk
1,0.74,High Risk
1,0.98,High Risk
1,0.83,High Risk
1,0.96,High Risk
1,0.96,High Risk
1,0.81,High Risk
1,1.0,High Risk
1,0.99,High Risk
1,0.81,High Risk
1,0.84,High Risk
1,0.96,High Risk
1,0.94,High Risk
1,0.99,High Risk
1,0.95,High Risk
1,0.99,High Risk
1,0.98,High Risk
1,0.99,High Risk
1,0.83,High Risk
1,0.82,High Risk
1,0.77,High Risk
1,0.83,High Risk
1,0.99,High Risk
1,0.91,High Risk
1,0.78,High Risk
0,0.75,High Risk
1,0.99,High Risk
1,0.86,High Risk
1,0.9,High Risk
1,0.72,High Risk
1,0.97,High Risk
1,0.79,High Risk
1,0.91,High Risk
1,0.94,High Risk
1,0.97,High Risk
1,0.85,High Risk
1,0.91,High Risk
1,0.89,High Risk
1,1.0,High Risk
1,0.78,High Risk
1,0.83,High Risk
1,0.92,High Risk
1,0.94,High Risk
1,0.93,High Risk
1,0.87,High Risk
0,0.89,High Risk
1,0.79,High Risk
1,0.95,High Risk
1,0.73,High Risk
1,0.82,High Risk
1,0.98,High Risk
1,0.98,High Risk
1,0.98,High Risk
1,0.82,High Risk
1,0.98,High Risk
1,0.98,High Risk
1,0.99,High Risk
1,0.75,High Risk
1,0.87,High Risk
1,0.78,High Risk
1,0.76,High Risk
1,0.84,High Risk
1,0.93,High Risk
1,0.81,High Risk
1,0.86,High Risk
1,0.73,High Risk
1,0.99,High Risk
1,0.91,High Risk
1,0.99,High Risk
1,0.99,High Risk
1,0.79,High Risk
1,0.97,High Risk
1,1.0,High Risk
1,0.71,High Risk
1,0.99,High Risk
1,0.76,High Risk
1,0.71,High Risk
1,0.99,High Risk
1,0.99,High Risk
1,0.99,High Risk
1,0.78,High Risk
1,0.97,High Risk
1,0.85,High Risk
1,0.91,High Risk
1,0.97,High Risk
1,0.99,High Risk
1,0.71,High Risk
1,0.87,High Risk
1,0.79,High Risk
1,0.73,High Risk
1,0.76,High Risk
1,0.94,High Risk
1,0.98,High Risk
0,0.8,High Risk
1,0.9,High Risk
1,0.98,High Risk
1,0.84,High Risk
1,0.99,High Risk
1,0.98,High Risk
1,0.97,High Risk
1,0.94,High Risk
1,0.81,High Risk
1,0.95,High Risk
1,0.99,High Risk
1,0.77,High Risk
1,0.96,High Risk
1,0.99,High Risk
1,0.98,High Risk
1,1.0,High Risk
1,0.96,High Risk
1,0.98,High Risk
1,0.98,High Risk
1,0.93,High Risk
1,1.0,High Risk
1,0.86,High Risk
1,0.96,High Risk
1,0.8,High Risk
1,0.79,High Risk
0,0.71,High Risk
1,0.88,High Risk
1,0.86,High Risk
1,0.87,High Risk
1,0.98,High Risk
1,0.97,High Risk
0,0.73,High Risk
0,0.82,High Risk
1,0.75,High Risk
1,0.88,High Risk
1,0.81,High Risk
1,0.82,High Risk
1,0.81,High Risk
1,0.93,High Risk
1,0.92,High Risk
1,0.85,High Risk
1,0.78,High Risk
1,1.0,High Risk
1,1.0,High Risk
1,1.0,High Risk
1,0.83,High Risk
1,0.95,High Risk
1,0.7,High Risk
1,0.99,High Risk
1,0.98,High Risk
1,0.84,High Risk
1,0.88,High Risk
1,0.83,High Risk
0,0.74,High Risk
1,1.0,High Risk
1,0.93,High Risk
1,0.76,High Risk
1,0.93,High Risk
1,0.94,High Risk
1,0.77,High Risk
1,0.85,High Risk
1,0.8,High Risk
1,0.79,High Risk
1,1.0,High Risk
1,0.87,High Risk
1,0.97,High Risk
1,0.8,High Risk
1,0.81,High Risk
1,0.99,High Risk
1,0.76,High Risk
1,0.96,High Risk
1,0.98,High Risk
0,0.72,High Risk
1,0.9,High Risk
1,0.74,High Risk
1,0.78,High Risk
1,0.86,High Risk
1,0.8,High Risk
1,0.86,High Risk
1,0.7,High Risk
1,0.99,High Risk
1,0.74,High Risk
1,0.78,High Risk
1,0.92,High Risk
1,0.98,High Risk
1,0.89,High Risk
1,0.77,High Risk
0,0.83,High Risk
1,0.99,High Risk
1,0.76,High Risk
1,0.72,High Risk
1,0.99,High Risk
1,0.99,High Risk
1,0.71,High Risk
1,1.0,High Risk
1,0.86,High Risk
1,0.94,High Risk
1,0.97,High Risk
1,0.99,High Risk
1,0.84,High Risk
1,0.76,High Risk
0,0.76,High Risk
1,0.87,High Risk
1,0.83,High Risk
1,0.91,High Risk
1,0.82,High Risk
1,0.84,High Risk
1,0.93,High Risk
1,0.81,High Risk
1,1.0,High Risk
1,0.95,High Risk
1,0.99,High Risk
1,0.95,High Risk
1,0.93,High Risk
1,0.88,High Risk
1,0.76,High Risk
1,0.99,High Risk
1,0.9,High Risk
1,1.0,High Risk
1,0.85,High Risk
1,0.99,High Risk
0,0.74,High Risk
1,0.79,High Risk
1,0.81,High Risk
1,0.91,High Risk
1,0.79,High Risk
1,0.77,High Risk
1,0.92,High Risk
1,0.96,High Risk
1,0.98,High Risk
1,0.95,High Risk
1,0.98,High Risk
1,0.75,High Risk
1,0.72,High Risk
1,0.91,High Risk
1,1.0,High Risk
1,0.97,High Risk
1,0.87,High Risk
1,0.93,High Risk
1,0.86,High Risk
1,1.0,High Risk
1,0.82,High Risk
1,0.88,High Risk
1,0.97,High Risk
1,0.99,High Risk
1,0.92,High Risk
1,0.89,High Risk
1,0.83,High Risk
1,0.99,High Risk
1,1.0,High Risk
1,1.0,High Risk
1,1.0,High Risk
1,0.81,High Risk
0,0.78,High Risk
1,1.0,High Risk
1,0.89,High Risk
1,0.89,High Risk
1,0.92,High Risk
1,0.75,High Risk
1,0.93,High Risk
1,0.7,High Risk
1,1.0,High Risk
0,0.7,High Risk
1,0.95,High Risk
0,0.79,High Risk
1,0.85,High Risk
1,0.96,High Risk
1,0.94,High Risk
1,0.84,High Risk
1,0.98,High Risk
1,0.78,High Risk
1,1.0,High Risk
1,0.77,High Risk
1,0.86,High Risk
1,0.89,High Risk
1,0.84,High Risk
1,0.85,High Risk
0,0.77,High Risk
1,0.85,High Risk
1,0.99,High Risk
1,0.98,High Risk
1,1.0,High Risk
1,1.0,High Risk
1,0.98,High Risk
1,0.97,High Risk
1,0.84,High Risk
1,0.82,High Risk
1,0.78,High Risk
1,0.87,High Risk
0,0.82,High Risk
1,1.0,High Risk
1,0.92,High Risk
1,0.7,High Risk
1,0.94,High Risk
1,0.86,High Risk
1,0.93,High Risk
1,0.97,High Risk
1,0.89,High Risk
0,0.71,High Risk
1,0.96,High Risk
1,0.82,High Risk
1,0.9,High Risk
1,0.89,High Risk
1,0.94,High Risk
1,0.98,High Risk
1,0.75,High Risk
1,0.83,High Risk
1,1.0,High Risk
1,0.72,High Risk
1,0.76,High Risk
1,0.92,High Risk
1,0.77,High Risk
1,0.98,High Risk
1,0.81,High Risk
1,0.87,High Risk
1,0.99,High Risk
1,0.97,High Risk
1,0.99,High Risk
0,0.76,High Risk
1,1.0,High Risk
1,0.99,High Risk
1,0.88,High Risk
1,0.99,High Risk
1,0.89,High Risk
1,0.93,High Risk
1,1.0,High Risk
1,0.99,High Risk
1,0.85,High Risk
1,0.88,High Risk
1,0.91,High Risk
1,0.89,High Risk
1,0.78,High Risk
1,0.98,High Risk
1,0.81,High Risk
1,0.87,High Risk
1,1.0,High Risk
1,0.92,High Risk
1,0.89,High Risk
1,0.89,High Risk
1,0.8,High Risk
1,0.81,High Risk
1,0.95,High Risk
1,0.87,High Risk
1,0.81,High Risk
1,0.97,High Risk
1,0.98,High Risk
1,0.71,High Risk
1,0.92,High Risk
1,1.0,High Risk
1,0.98,High Risk
1,1.0,High Risk
1,0.97,High Risk
1,0.96,High Risk
1,0.79,High Risk
1,0.74,High Risk
1,0.71,High Risk
1,0.84,High Risk
1,0.98,High Risk
1,1.0,High Risk
1,0.94,High Risk
1,0.88,High Risk
1,0.96,High Risk
0,0.76,High Risk
1,1.0,High Risk
1,0.82,High Risk
1,0.91,High Risk
1,0.82,High Risk
1,0.8,High Risk
1,0.73,High Risk
1,0.93,High Risk
1,0.99,High Risk
1,0.94,High Risk
1,0.72,High Risk
1,0.88,High Risk
1,0.98,High Risk
0,0.87,High Risk
1,0.82,High Risk
1,0.97,High Risk
1,0.81,High Risk
1,0.99,High Risk
1,1.0,High Risk
1,0.93,High Risk
1,0.89,High Risk
1,0.96,High Risk
1,0.94,High Risk
1,0.88,High Risk
1,0.99,High Risk
1,0.7,High Risk
1,0.93,High Risk
1,0.95,High Risk
1,0.74,High Risk
1,1.0,High Risk
1,0.91,High Risk
1,0.74,High Risk
1,0.88,High Risk
1,0.99,High Risk
1,0.92,High Risk
1,0.99,High Risk
1,0.91,High Risk
1,0.84,High Risk
1,0.96,High Risk
1,0.97,High Risk
1,0.99,High Risk
1,0.99,High Risk
1,1.0,High Risk
1,0.91,High Risk
1,0.71,High Risk
1,0.81,High Risk
1,0.89,High Risk
1,0.91,High Risk
1,0.87,High Risk
1,0.93,High Risk
1,0.99,High Risk
1,0.98,High Risk
0,0.72,High Risk
1,0.92,High Risk
1,1.0,High Risk
1,0.95,High Risk
1,1.0,High Risk
1,0.78,High Risk
1,0.95,High Risk
1,0.92,High Risk
1,0.98,High Risk
1,1.0,High Risk
1,0.8,High Risk
1,0.91,High Risk
1,0.87,High Risk
0,0.75,High Risk
1,0.76,High Risk
1,0.99,High Risk
1,0.91,High Risk
1,1.0,High Risk
1,0.99,High Risk
1,0.83,High Risk
1,0.85,High Risk
1,0.88,High Risk
1,0.98,High Risk
1,0.98,High Risk
1,0.95,High Risk
1,0.99,High Risk
1,0.91,High Risk
1,0.99,High Risk
1,0.89,High Risk
1,0.84,High Risk
1,0.91,High Risk
1,0.82,High Risk
1,0.93,High Risk
1,0.99,High Risk
1,0.97,High Risk
1,0.9,High Risk
1,0.84,High Risk
1,0.98,High Risk
1,1.0,High Risk
1,0.99,High Risk
1,0.84,High Risk
1,0.95,High Risk
1,0.98,High Risk
1,0.99,High Risk
1,0.88,High Risk
1,0.75,High Risk
1,0.88,High Risk
1,0.89,High Risk
1,0.95,High Risk
1,0.86,High Risk
1,0.77,High Risk
1,1.0,High Risk
1,0.95,High Risk
1,0.97,High Risk
1,0.75,High Risk
1,0.9,High Risk
0,0.81,High Risk
1,0.87,High Risk
1,1.0,High Risk
1,0.92,High Risk
1,0.83,High Risk
1,0.94,High Risk
1,0.98,High Risk
1,0.9,High Risk
1,0.99,High Risk
1,0.92,High Risk
1,1.0,High Risk
1,0.7,High Risk
1,0.99,High Risk
1,0.86,High Risk
1,0.86,High Risk
1,0.96,High Risk
1,0.92,High Risk
1,0.98,High Risk
1,0.99,High Risk
1,0.89,High Risk
1,0.76,High Risk
1,0.74,High Risk
1,0.87,High Risk
1,0.97,High Risk
1,0.97,High Risk
0,0.76,High Risk
1,1.0,High Risk
1,0.9,High Risk
1,0.98,High Risk
1,0.96,High Risk
1,0.93,High Risk
1,0.77,High Risk
1,0.99,High Risk
1,0.89,High Risk
1,1.0,High Risk
1,0.76,High Risk
1,0.97,High Risk
1,0.75,High Risk
1,1.0,High Risk
1,1.0,High Risk
1,0.98,High Risk
1,1.0,High Risk
1,0.72,High Risk
1,0.72,High Risk
1,0.87,High Risk
1,0.7,High Risk
1,0.9,High Risk
1,0.76,High Risk
1,0.99,High Risk
1,0.87,High Risk
1,0.85,High Risk
1,0.99,High Risk
1,0.96,High Risk
1,0.96,High Risk
1,1.0,High Risk
1,0.99,High Risk
1,1.0,High Risk
1,0.97,High Risk
1,0.7,High Risk
1,0.99,High Risk
1,0.91,High Risk
0,0.98,High Risk
1,0.81,High Risk
1,0.81,High Risk
1,0.72,High Risk
1,1.0,High Risk
1,1.0,High Risk
1,0.8,High Risk
1,0.98,High Risk
1,0.98,High Risk
1,0.99,High Risk
1,0.99,High Risk
1,0.97,High Risk
1,0.92,High Risk
1,0.99,High Risk
1,0.99,High Risk
1,0.99,High Risk
1,0.87,High Risk
1,0.99,High Risk
1,0.71,High Risk
1,0.99,High Risk
1,0.7,High Risk
1,0.86,High Risk
1,0.95,High Risk
1,0.73,High Risk
1,0.79,High Risk
1,1.0,High Risk
1,0.98,High Risk
1,0.94,High Risk
1,0.88,High Risk
1,1.0,High Risk
1,0.94,High Risk
1,0.92,High Risk
1,0.92,High Risk
1,0.88,High Risk
1,0.86,High Risk
1,0.74,High Risk
1,0.99,High Risk
1,0.88,High Risk
1,0.97,High Risk
1,0.87,High Risk
1,0.85,High Risk
0,0.75,High Risk
1,0.94,High Risk
1,1.0,High Risk
1,1.0,High Risk
1,0.98,High Risk
1,0.71,High Risk
1,0.99,High Risk
1,0.8,High Risk
1,0.75,High Risk
1,0.99,High Risk
1,0.71,High Risk
1,1.0,High Risk
1,0.83,High Risk
1,0.73,High Risk
1,0.8,High Risk
1,0.99,High Risk
1,0.99,High Risk
1,0.99,High Risk
1,0.98,High Risk
1,1.0,High Risk
1,0.82,High Risk
1,0.83,High Risk
0,0.93,High Risk
0,0.7,High Risk
1,0.99,High Risk
1,0.99,High Risk
1,0.84,High Risk
1,0.92,High Risk
1,0.97,High Risk
1,0.87,High Risk
1,1.0,High Risk
1,0.76,High Risk
1,0.97,High Risk
1,0.8,High Risk
1,0.87,High Risk
1,0.86,High Risk
0,0.75,High Risk
1,0.99,High Risk
1,0.75,High Risk
1,0.72,High Risk
1,0.87,High Risk
1,0.99,High Risk
1,0.86,High Risk
1,0.98,High Risk
1,0.97,High Risk
1,0.76,High Risk
1,0.92,High Risk
1,0.99,High Risk
1,0.91,High Risk
1,0.84,High Risk
1,0.88,High Risk
0,0.7,High Risk
1,1.0,High Risk
1,0.87,High Risk
1,0.99,High Risk
1,0.95,High Risk
0,0.9,High Risk
1,0.72,High Risk
0,0.75,High Risk
1,0.9,High Risk
1,0.93,High Risk
1,0.82,High Risk
1,1.0,High Risk
1,0.73,High Risk
1,0.87,High Risk
1,0.85,High Risk
1,0.98,High Risk
1,0.83,High Risk
1,0.74,High Risk
1,1.0,High Risk
1,0.89,High Risk
1,0.89,High Risk
1,0.97,High Risk
1,0.97,High Risk
1,0.87,High Risk
0,0.96,High Risk
1,0.86,High Risk
1,0.71,High Risk
1,1.0,High Risk
1,0.98,High Risk
1,0.99,High Risk
0,0.75,High Risk
0,0.75,High Risk
1,0.93,High Risk
1,0.84,High Risk
1,0.99,High Risk
1,0.99,High Risk
1,0.9,High Risk
1,0.98,High Risk
1,0.99,High Risk
1,0.98,High Risk
1,0.93,High Risk
1,0.99,High Risk
1,1.0,High Risk
1,0.92,High Risk
1,0.71,High Risk
1,0.99,High Risk
1,1.0,High Risk
1,1.0,High Risk
1,0.88,High Risk
1,0.9,High Risk
1,0.94,High Risk
1,0.95,High Risk
1,0.97,High Risk
1,1.0,High Risk
1,0.74,High Risk
1,0.99,High Risk
1,0.85,High Risk
1,0.96,High Risk
1,0.98,High Risk
1,0.99,High Risk
1,0.78,High Risk
1,0.9,High Risk
1,0.95,High Risk
1,0.99,High Risk
1,0.99,High Risk
1,0.97,High Risk
1,1.0,High Risk
1,0.99,High Risk
0,0.86,High Risk
1,0.98,High Risk
1,0.97,High Risk
1,0.99,High Risk
1,0.73,High Risk
1,1.0,High Risk
1,0.87,High Risk
1,0.99,High Risk
1,0.82,High Risk
1,0.85,High Risk
1,0.93,High Risk
1,0.93,High Risk
1,0.9,High Risk
1,0.78,High Risk
1,0.7,High Risk
1,0.98,High Risk
1,1.0,High Risk
1,0.92,High Risk
1,0.85,High Risk
0,0.85,High Risk
1,0.91,High Risk
1,0.98,High Risk
1,0.8,High Risk
1,0.97,High Risk
1,0.84,High Risk
1,1.0,High Risk
1,0.87,High Risk
1,0.89,High Risk
1,1.0,High Risk
1,1.0,High Risk
0,0.73,High Risk
1,0.86,High Risk
1,0.84,High Risk
1,0.97,High Risk
1,0.9,High Risk
1,1.0,High Risk
1,0.94,High Risk
1,0.98,High Risk
1,0.81,High Risk
1,1.0,High Risk
1,0.87,High Risk
1,0.83,High Risk
1,0.99,High Risk
1,0.87,High Risk
1,0.81,High Risk
1,0.87,High Risk
1,0.97,High Risk
1,0.93,High Risk
1,0.71,High Risk
1,0.99,High Risk
1,0.87,High Risk
1,0.75,High Risk
0,0.72,High Risk
1,0.79,High Risk
1,0.98,High Risk
0,0.87,High Risk
1,0.9,High Risk
1,0.95,High Risk
1,0.82,High Risk
1,1.0,High Risk
1,0.77,High Risk
1,0.78,High Risk
1,0.76,High Risk
1,0.81,High Risk
1,1.0,High Risk
1,0.98,High Risk
1,0.8,High Risk
1,1.0,High Risk
1,1.0,High Risk
1,0.91,High Risk
1,0.86,High Risk
1,0.88,High Risk
1,0.99,High Risk
1,0.96,High Risk
0,0.78,High Risk
1,0.91,High Risk
1,0.86,High Risk
1,0.97,High Risk
1,0.72,High Risk
1,0.83,High Risk
1,0.98,High Risk
1,0.93,High Risk
1,0.97,High Risk
1,0.87,High Risk
1,0.78,High Risk
1,1.0,High Risk
1,0.83,High Risk
1,0.88,High Risk
1,0.82,High Risk
1,1.0,High Risk
1,0.99,High Risk
1,0.75,High Risk
1,1.0,High Risk
1,0.91,High Risk
1,0.98,High Risk
1,0.87,High Risk
1,0.88,High Risk
1,0.92,High Risk
1,0.94,High Risk
1,0.99,High Risk
1,0.91,High Risk
1,0.99,High Risk
1,0.78,High Risk
1,0.76,High Risk
1,0.97,High Risk
1,0.74,High Risk
1,0.99,High Risk
1,0.91,High Risk
1,0.9,High Risk
1,0.83,High Risk
1,0.82,High Risk
1,0.98,High Risk
1,0.92,High Risk
1,1.0,High Risk
1,0.91,High Risk
1,0.74,High Risk
1,0.86,High Risk
1,0.85,High Risk
1,1.0,High Risk
1,0.96,High Risk
1,0.79,High Risk
1,0.99,High Risk
1,0.94,High Risk
1,0.98,High Risk
1,0.84,High Risk
1,0.98,High Risk
1,0.95,High Risk
1,0.77,High Risk
1,0.91,High Risk
1,0.87,High Risk
1,0.82,High Risk
1,0.98,High Risk
1,0.99,High Risk
1,1.0,High Risk
1,0.98,High Risk
1,0.71,High Risk
1,0.89,High Risk
1,0.95,High Risk
1,0.91,High Risk
1,0.98,High Risk
1,0.88,High Risk
1,0.98,High Risk
1,0.75,High Risk
1,0.76,High Risk
1,0.89,High Risk
1,0.99,High Risk
1,0.92,High Risk
1,0.74,High Risk
1,0.86,High Risk
1,0.95,High Risk
1,0.85,High Risk
1,0.98,High Risk
1,0.73,High Risk
1,0.74,High Risk
1,1.0,High Risk
1,0.74,High Risk
1,1.0,High Risk
1,0.87,High Risk
1,1.0,High Risk
1,0.92,High Risk
1,0.94,High Risk
1,0.92,High Risk
1,0.99,High Risk
1,0.77,High Risk
1,1.0,High Risk
0,0.95,High Risk
1,0.99,High Risk
1,0.99,High Risk
1,0.76,High Risk
1,1.0,High Risk
1,0.98,High Risk
1,0.81,High Risk
1,0.97,High Risk
1,0.89,High Risk
1,0.88,High Risk
1,0.83,High Risk
1,0.99,High Risk
1,1.0,High Risk
1,0.78,High Risk
1,0.92,High Risk
1,0.98,High Risk
1,0.87,High Risk
1,0.73,High Risk
1,0.93,High Risk
1,0.71,High Risk
1,0.96,High Risk
1,1.0,High Risk
1,0.98,High Risk
1,0.84,High Risk
1,0.85,High Risk
1,0.91,High Risk
1,0.89,High Risk
1,0.94,High Risk
1,0.84,High Risk
1,0.99,High Risk
1,0.89,High Risk
1,0.85,High Risk
1,0.88,High Risk
1,0.82,High Risk
1,0.86,High Risk
1,0.76,High Risk
1,1.0,High Risk
1,0.71,High Risk
1,0.96,High Risk
1,0.97,High Risk
1,0.72,High Risk
1,0.8,High Risk
1,0.95,High Risk
1,0.94,High Risk
1,0.88,High Risk
1,1.0,High Risk
1,0.96,High Risk
1,0.97,High Risk
1,0.93,High Risk
1,0.84,High Risk
1,0.82,High Risk
1,1.0,High Risk
0,0.84,High Risk
1,0.86,High Risk
1,0.92,High Risk
1,0.93,High Risk
1,0.97,High Risk
1,0.84,High Risk
1,1.0,High Risk
1,1.0,High Risk
1,0.97,High Risk
1,0.9,High Risk
1,0.99,High Risk
1,1.0,High Risk
1,0.7,High Risk
0,0.71,High Risk
1,0.95,High Risk
1,1.0,High Risk
1,0.78,High Risk
1,1.0,High Risk
1,0.99,High Risk
1,0.89,High Risk
1,0.85,High Risk
1,0.98,High Risk
1,0.9,High Risk
1,1.0,High Risk
1,0.9,High Risk
1,0.85,High Risk
1,0.97,High Risk
1,0.95,High Risk
1,0.83,High Risk
1,0.98,High Risk
1,1.0,High Risk
1,0.76,High Risk
1,0.84,High Risk
1,0.98,High Risk
1,0.88,High Risk
1,0.84,High Risk
1,0.88,High Risk
1,0.98,High Risk
1,0.99,High Risk
1,0.87,High Risk
1,0.98,High Risk
1,0.9,High Risk
1,0.97,High Risk
1,0.9,High Risk
1,0.99,High Risk
1,0.95,High Risk
1,0.77,High Risk
1,0.92,High Risk
1,0.82,High Risk
1,0.9,High Risk
1,0.86,High Risk
1,0.85,High Risk
0,0.91,High Risk
0,0.93,High Risk
1,0.96,High Risk
1,0.98,High Risk
1,0.74,High Risk
1,0.99,High Risk
1,0.93,High Risk
1,1.0,High Risk
1,0.82,High Risk
1,0.76,High Risk
1,0.92,High Risk
1,0.96,High Risk
1,0.86,High Risk
1,0.98,High Risk
1,0.98,High Risk
1,1.0,High Risk
1,0.89,High Risk
1,0.99,High Risk
1,0.96,High Risk
1,0.75,High Risk
1,0.88,High Risk
1,0.85,High Risk
1,0.98,High Risk
1,0.86,High Risk
1,0.91,High Risk
1,1.0,High Risk
1,0.89,High Risk
1,0.98,High Risk
1,0.8,High Risk
1,0.87,High Risk
1,0.89,High Risk
1,0.94,High Risk
1,1.0,High Risk
1,0.99,High Risk
1,1.0,High Risk
1,1.0,High Risk
1,0.91,High Risk
1,0.99,High Risk
1,0.92,High Risk
1,0.85,High Risk
1,0.94,High Risk
1,0.86,High Risk
1,0.86,High Risk
1,0.95,High Risk
1,0.93,High Risk
0,0.84,High Risk
1,0.99,High Risk
1,0.83,High Risk
1,0.92,High Risk
1,1.0,High Risk
1,0.99,High Risk
1,0.97,High Risk
1,0.93,High Risk
1,0.81,High Risk
1,1.0,High Risk
1,0.8,High Risk
1,0.87,High Risk
0,0.71,High Risk
1,0.78,High Risk
1,0.79,High Risk
1,0.76,High Risk
1,0.99,High Risk
1,0.86,High Risk
1,0.98,High Risk
1,0.97,High Risk
1,0.82,High Risk
1,0.91,High Risk
1,0.96,High Risk
1,0.88,High Risk
1,0.86,High Risk
1,0.86,High Risk
1,0.84,High Risk
1,0.99,High Risk
1,0.99,High Risk
1,0.98,High Risk
1,1.0,High Risk
1,0.93,High Risk
1,0.98,High Risk
1,0.92,High Risk
1,0.94,High Risk
1,0.95,High Risk
1,0.89,High Risk
1,0.79,High Risk
0,0.88,High Risk
1,0.7,High Risk
0,0.8,High Risk
1,0.98,High Risk
1,0.72,High Risk
1,0.83,High Risk
1,1.0,High Risk
1,0.72,High Risk
1,0.9,High Risk
1,0.96,High Risk
1,0.95,High Risk
1,0.89,High Risk
1,0.85,High Risk
1,0.94,High Risk
1,1.0,High Risk
1,0.74,High Risk
1,0.79,High Risk
1,0.71,High Risk
1,0.88,High Risk
1,0.86,High Risk
1,0.85,High Risk
1,0.97,High Risk
1,0.72,High Risk
1,0.92,High Risk
1,0.85,High Risk
1,0.9,High Risk
1,0.8,High Risk
1,0.9,High Risk
1,0.87,High Risk
1,0.93,High Risk
1,0.95,High Risk
1,0.84,High Risk
1,0.81,High Risk
1,0.88,High Risk
1,0.82,High Risk
1,0.92,High Risk
1,0.93,High Risk
1,1.0,High Risk
1,1.0,High Risk
1,0.9,High Risk
1,0.99,High Risk
1,0.99,High Risk
1,0.91,High Risk
1,0.84,High Risk
1,0.78,High Risk
1,0.94,High Risk
1,0.98,High Risk
1,0.7,High Risk
1,0.94,High Risk
1,0.82,High Risk
1,0.87,High Risk
1,0.9,High Risk
1,0.95,High Risk
1,0.99,High Risk
1,0.99,High Risk
1,0.83,High Risk
1,0.81,High Risk
1,0.99,High Risk
1,0.99,High Risk
1,0.99,High Risk
1,0.93,High Risk
1,0.7,High Risk
1,0.87,High Risk
1,0.88,High Risk
1,1.0,High Risk
1,0.7,High Risk
1,0.99,High Risk
1,0.94,High Risk
1,0.75,High Risk
1,1.0,High Risk
1,0.8,High Risk
1,0.87,High Risk
1,0.93,High Risk
1,0.87,High Risk
1,0.99,High Risk
1,1.0,High Risk
1,0.95,High Risk
1,0.89,High Risk
1,0.74,High Risk
1,0.87,High Risk
1,0.77,High Risk
1,0.94,High Risk
1,1.0,High Risk
1,0.97,High Risk
1,1.0,High Risk
1,0.88,High Risk
1,0.99,High Risk
1,0.93,High Risk
1,0.76,High Risk
1,0.97,High Risk
1,0.88,High Risk
1,0.97,High Risk
1,1.0,High Risk
0,0.71,High Risk
1,0.99,High Risk
1,0.96,High Risk
1,0.86,High Risk
1,0.85,High Risk
1,0.71,High Risk
1,0.73,High Risk
1,0.82,High Risk
1,0.92,High Risk
0,0.75,High Risk
1,0.78,High Risk
1,0.73,High Risk
0,0.72,High Risk
1,0.93,High Risk
0,0.74,High Risk
1,0.78,High Risk
1,0.94,High Risk
1,0.89,High Risk
1,0.89,High Risk
1,0.99,High Risk
1,0.94,High Risk
1,0.84,High Risk
1,0.9,High Risk
1,0.88,High Risk
1,0.9,High Risk
1,0.92,High Risk
1,0.92,High Risk
1,0.97,High Risk
1,0.9,High Risk
1,0.91,High Risk
1,0.86,High Risk
1,0.99,High Risk
1,0.95,High Risk
1,0.75,High Risk
1,0.99,High Risk
1,0.8,High Risk
1,0.86,High Risk
1,0.76,High Risk
1,1.0,High Risk
1,0.81,High Risk
1,1.0,High Risk
1,0.89,High Risk
1,0.99,High Risk
1,0.96,High Risk
1,0.99,High Risk
1,0.77,High Risk
1,0.98,High Risk
1,1.0,High Risk
1,0.8,High Risk
1,0.92,High Risk
1,0.9,High Risk
1,0.98,High Risk
1,1.0,High Risk
1,0.99,High Risk
1,0.79,High Risk
1,1.0,High Risk
1,1.0,High Risk
1,0.83,High Risk
1,0.9,High Risk
1,0.98,High Risk
1,1.0,High Risk
1,0.98,High Risk
1,0.94,High Risk
1,0.97,High Risk
1,0.7,High Risk
1,0.8,High Risk
0,0.77,High Risk
1,0.81,High Risk
1,0.94,High Risk
1,0.98,High Risk
1,0.86,High Risk
1,0.94,High Risk
1,0.89,High Risk
1,0.96,High Risk
1,0.81,High Risk
1,0.83,High Risk
1,0.98,High Risk
1,0.86,High Risk
1,0.85,High Risk
1,0.98,High Risk
1,0.71,High Risk
1,0.71,High Risk
1,1.0,High Risk
1,0.99,High Risk
1,0.96,High Risk
1,0.9,High Risk
1,0.84,High Risk
1,0.88,High Risk
1,0.93,High Risk
1,0.95,High Risk
1,1.0,High Risk
1,0.88,High Risk
1,0.92,High Risk
1,0.86,High Risk
1,0.99,High Risk
1,0.76,High Risk
1,1.0,High Risk
1,0.98,High Risk
1,0.9,High Risk
1,0.99,High Risk
1,0.96,High Risk
1,0.85,High Risk
1,0.98,High Risk
0,0.77,High Risk
